,Chengyu,Definitions
0,以一知万,"&quot;Book of Southern Qi·Kabin Biography&quot;: &quot;Bin also looked at animals and animals and said: &#39;Sheep are lustful and ruthless, pigs are humble and straightforward, goose is stubborn and arrogant, and dogs are dangerous and come out, all accusing you of being noble.&#39;&quot;"
1,牙牙学语,"&quot;Zhuangzi·Xiaoyaoyou&quot;: &quot;The wren nests in the deep forest, but only one branch.&quot;"
2,永矢弗谖,"&quot;Liang Shu: The Biography of King Wei of Nanping Yuanxiang&quot;: &quot;Xiaguan calendar watch the world, many are not happy, but sleep on the bed, look at the beams of the house and write books.&quot;"
3,迎来送往,"&quot;Old Tang Book: Fang Xuanling&#39;s Biography&quot;: &quot;There are many servants, and those who have never seen such a man will surely become a great weapon.&quot;"
4,同心合力,"&quot;Xunzi: Encouraging Learning&quot;: &quot;The soaring snake flies without a foot, and the Wushu is poor with five skills.&quot;"
5,贪心不足,"&quot;Strategy of the Warring States: Qi Ce 4&quot;: &quot;Eating dinner is like meat, and walking comfortably is like a car.&quot;"
6,退思补过,"&quot;The History of Song Dynasty: The Biography of Cai Yuanding&quot;: &quot;The execution is worthy of the shadow, and the bed alone is worthy of the quilt.&quot;"
7,慎终追远,"&quot;Book·Tai Oath&quot;: &quot;I have ten chaotic ministers, all of one heart and one mind.&quot;"
8,慎终如始,"&quot;Historical Records: Li Siwu Biography&quot;: &quot;It is because Mount Tai does not allow soil, so it can become large; rivers and seas do not choose trickles, so they can be deep.&quot;"
9,神州陆沉,"&quot;Zuo Zhuan·Xuangong Twelve Years&quot;: &quot;Lin father&#39;s affairs are the king, and he will be loyal to his thoughts, and he will make up for his mistakes."
10,食指大动,"&quot;Book of Songs, Qin Feng, No Clothes&quot;: &quot;How can it be said that there is no clothing, and the robe is the same as the child. ... How can it be said that there is no clothing, and the same water with the child.&quot;"
11,事预则立,&quot;Zuo Zhuan: The Fourteenth Year of Zhaogong&quot;: &quot;Corruption uses corrupt officials as ink.&quot;
12,夙夜在公,"&quot;Records of the Three Kingdoms, Wei Shu, Emperor Wu Ji&quot;: &quot;Every time I talk to people, tease and recite, I hide everything, and I laugh with joy. Even in the case where there is no cup in the head, the food and meals are stained with towels.&quot;"
13,胜友如云,"Ming Feng Menglong&#39;s &quot;Jing Shi Tong Yan: Jin Ling Shi Mei&#39;s Maid Rewards Xiu Tong&quot;: &quot;Jin Man closed the door, and the two talked in detail. It is exactly: stepping through the iron shoes, there is nowhere to find it, it takes no effort to get it!&quot;"
14,书声琅琅,"&quot;Zhuangzi Lie Yukou&quot;: &quot;The king of Qin called a doctor when he was ill. Those who broke the carbuncle and broke the seat got a car; those who licked the hemorrhoids got five or five cars. The more they are cured, the more cars they get.&quot;"
