,Chengyu,Definitions
0,天涯比邻,"Yuan·Anonymous&#39;s &quot;Contract Text&quot; is folded: &quot;My family name is from Xiama Village, Gaoping County, Luzhou. The surname is Zhang Bingyi, the Hunjia Guo family, and the family members of two direct relatives. There are no male or female.&quot;"
1,遗世独立,"&quot;Warring States Policy Yan Ce&quot; records: Jing Ke assassinated the King of Qin for Prince Yan, and used the name of the map that offered the governor of the state of Yan, and first rolled the dagger in the map. King Qin unfolded the map, and finally revealed the dagger."
2,人亡政息,"Tang Bai Juyi&#39;s poem &quot;Wandering in Spring with Dreams&quot;: &quot;If you have no shame in your heart, you will slander your mouth.&quot; Ming Maowei&#39;s &quot;The God of Troubled Doors&quot;: &quot;If you feel your heart in the clear night, there will be no grudges.&quot;"
3,望秋先零,"Jin Tao Qian&#39;s &quot;Civilization of Returning&quot;: &quot;When you return, the countryside will be ruined, and Hu will not return.&quot;"
4,渴而穿井,"Three Kingdoms, Wei, Cao Cao&#39;s &quot;Autumn and Hu Xing&quot;: &quot;Indecisive, then ascended to the sky.&quot;"
5,梯山航海,"Tang Hanyu&#39;s poem &quot;Return to the Dynasty&quot;: &quot;Isn&#39;t it good to serve the chapter, not to oppose virtue, Gu Ying listens to its voice, and the face is gradually recited.&quot;"
6,吹影镂尘,"&quot;Zuo Zhuan: Xianggong Eighteen Years&quot;: &quot;No harm, I suddenly sing the north wind, and I sing the south wind. If the south wind does not compete, there will be many dead voices, and Chu will have no merit.&quot;"
7,朝乾夕惕,"Tang Zhang Yanyuan&#39;s &quot;Fashu Yaolu&quot;: &quot;Zhiyong Zen master lives in Yongxin Temple in Wuxing, and people who come to find books are like a city, and the households where they live are limited to the acupoints.&quot;"
8,守望相助,"Jin Fu Xian&#39;s &quot;Shen Huai Fu&quot;: &quot;Mu Mu is forbidden to be banned, and all the heroes are gathered. Luan Xiangfeng gathers, and Yu Yi goes to relatives.&quot;"
9,念兹在兹,"&quot;Records of the Grand Historian&quot;: &quot;Xiang Yu was afraid that he had made a pact with the king of Han to divide the world in the middle, dividing the gap between the west and the Han, and the gap between the east and the Chu.&quot;"
10,放辟邪侈,"&quot;Zuo Zhuan: Three Years of Wengong&quot;: &quot;Qin Bo attacked Jin, and helped the river and Chuzhou.&quot;"
11,春和景明,"Former Shu · Du Guangting&#39;s &quot;Feng Li Zhenren Confession&quot;: &quot;Vibrating the world&#39;s clothes, resisting the traces of the clouds, the labor of passing away by electricity in the window of the horse, and the fun of the clouds in Aoling.&quot;"
12,敬老慈幼,"&quot;Book of the Later Han Dynasty, Zhao Yizhuan&quot;: &quot;If you like it, you will dig out the dander; if you hate it, you will wash away the dirt and seek scars.&quot;"
13,半丝半缕,&quot;The Spring and Autumn Period of the Lu Family: Leaving the Secular&quot;: &quot;The spear from the dead halberd can be returned to?&quot;
14,亘古亘今,"The forty-ninth chapter of &quot;The Legend of Heroes and Martyrs&quot;: &quot;The red dragon boats are not stationed in Wulong Town, and the rivers and seas are stirred up; the Daquan Hong Kong cannot do everything comprehensively, and the empty teaching shakes the mountains.&quot;"
15,不可移易,"Western Han Dynasty Liu An &quot;Huainanzi: Lan Mingxun&quot;: &quot;So Nuwa refines five-color stones to make up the sky, and breaks the claw to establish the four poles.&quot;"
16,不舍昼夜,"Ming Feng Menglong&#39;s &quot;Awakening the World Hengyan&quot; Volume 7: &quot;But there are one or two talents, and the one who won&#39;t be caught in the wind, the central media agrees.&quot;"
17,仆仆风尘,"Three Kingdoms Wei Cao Pi&#39;s &quot;Wu Zhishu with Chaoge Order&quot;: &quot;Fei Gangua is in Qingquan, Shen Zhu Li is in cold water.&quot;"
18,以一持万,"Yuan Wang Shifu&#39;s &quot;The Story of the West Chamber&quot;, the fourth fold: &quot;He can&#39;t actually swallow the golden wave of jade liquid.&quot;"
19,安于一隅,"&quot;Book of Jin - Que Xu Biography&quot;: &quot;The ministers take virtuous and good strategies, and they are the first in the world, just like a branch of Guilin and a piece of jade in Kunshan.&quot;"
20,涣然冰释,"&quot;Northern History Wei Biography&quot;: &quot;In the past people did not abandon the hairpin and fall off the vulva, and the evil came out with it, and did not return with it. Although my conduct is not as good as the previous one, it is not my ambition to abandon the old and record the new. .&quot;"
21,皓首穷经,"Tang Bai Juyi&#39;s poem &quot;In the Mountains and Yuan Jiu Shu Yin After Inscription&quot;: &quot;The caged birds and the apes are not dead, what year did we meet in the world!&quot;"
22,发愤忘食,"Song He Tan&#39;s &quot;Xichou Common Words&quot;: &quot;If you step far, you will have a leader, and if you sit down, you will listen to the wall without a curtain.&quot;"
23,鲍鱼之肆,"&quot;Shangshu·Junya&quot;: &quot;The worry of the heart, if you are jumping on the tail of a tiger, you will be involved in the spring ice.&quot;"
24,不测之忧,"&quot;Han Shu: The Legend of the Xiongnu&quot;: &quot;Things are thin and thin, and the ministers&#39; plans are not enough to leave the joy of Kundi.&quot;"
25,从善如登,"&quot;Southern History, Qi Ji Xia, Abolished Emperor Donghun Hou&quot;: &quot;(Donghun Hou) also chiseled gold to make lotus flowers (flowers) to stick to the ground, and ordered Concubine Pan to walk on them, saying: &#39;This step by step produces lotus flowers (flowers). )also.&#39;&quot;"
26,韬光养晦,"Han Sima Qian&#39;s &quot;Book of Reports to Ren Shaoqing&quot;: &quot;This book is written by the servant, who hides it in famous mountains, and passes it on to his people. If you pass the city, then the servant will pay the responsibility of the previous humiliation. Although thousands of people have been killed, how can there be any regrets!&quot;"
27,来者可追,"&quot;Song History: Yue Fei Biography&quot; records that Yue Fei said to Zong Ze: &quot;The battle after the battle, the art of war is constant, the application is wonderful, and it is in one mind.&quot;"
28,驽马十驾,"&quot;The Analects of Confucius, Yan Yuan&quot;: &quot;A gentleman is respectful and without loss, and he is respectful and courteous to others. Within the four seas, all are brothers.&quot;"
29,人神共愤,"Song Shi Puji&#39;s &quot;Five Lantern Festival Yuan, Seven Buddhas, Sakyamuni Buddha&quot;: &quot;I have the right Dharma eye, the wonderful mind of Nirvana, the truth has no appearance, the subtle Dharma door, there is no writing, and it is not taught outside the teaching.&quot;"
30,丑态毕露,The Eastern Han Dynasty Ban Gu &quot;Han Shu·Lv Li Zhi Shang&quot;: &quot;The amount of the amount is not lost.&quot;
31,合浦珠还,"&quot;The Analects of Confucius, Zihan&quot;: &quot;The son said on the river: &#39;The deceased is like a gentleman, and he does not give up day and night.&quot;"
32,案牍劳形,"Han Zhao Ye&#39;s &quot;Wuyue Spring and Autumn Period Goujian Attacks on Wu Waizhuan&quot;: &quot;The sound can be entrusted to the string pipe, and the name can be left to the bamboo silk.&quot;"
33,冯唐易老,"&quot;Records of the Grand Historian, Tai Shigong&#39;s Preface&quot;: &quot;Zhu Lu is a follower, seeks to weaken the capital, and rebels against the classics and cooperates with power.&quot;"
34,刮垢磨光,"&quot;Historical Records: Zhang Shizhi&#39;s Biography of Feng and Tang Dynasty&quot;: &quot;The Emperor Wen said: &#39;When I was living in the dynasty, I was a food supervisor, and I said that Zhao general Li Qizhi&#39;s wise men fought under the giant deer. Today, every meal I have, I have no intention of being absent. Hulu also&#39;&quot;"
35,节用裕民,"Han Xu Shen&#39;s &quot;Shuowen Jiezi · Preface&quot;: &quot;The village walls falsely create unknowable books, which are often chaotic and frequent, so as to shine in the world.&quot;"
36,临池学书,Ming Feng Menglong&#39;s &quot;Awakening of the World: Qian Xiucai Wrongly Occupies the Phoenix Couple&quot;: &quot;Qian Wanxuan listened and pondered.&quot;
37,扼腕叹息,"&quot;Zhuangzi·Shanxing&quot;: &quot;When things come, they are sent to them.&quot;"
38,讲信修睦,&quot;Mencius: Complete the Heart&quot;: &quot;The sage is the teacher of a hundred generations.&quot;
39,云谲波诡,"Chunqiu Lu Confucius &quot;The Analects of Confucius, Ba Yi&quot;: &quot;If you don&#39;t talk about it, you don&#39;t remonstrate it, and you don&#39;t blame it.&quot; &#39;"
40,明刑弼教,"Emperor Liang Jianwen of the Southern Dynasties &quot;Book with the King of East Xiangdong&quot;: &quot;Thank you for your cleverness and cannot be ranked, and Pei Yi&#39;s quality is not suitable for admiration.&quot;"
41,朝斯夕斯,"&quot;Liezi·Tangwen&quot;: &quot;Fu Festival Elegy, the sound shakes the trees, and the sound stops the clouds.&quot;"
42,克己复礼,Tang Liu Yuxi&#39;s &quot;Inscription of the Shabby Room&quot;: &quot;The form of labor without a case.&quot;
43,齐家治国,"&quot;The Book of the Later Han Dynasty: Zhu Mu&#39;s Biography&quot;: &quot;Holding the king in his hand, his mouth contains Tianxian.&quot;"
44,近悦远来,"&quot;Book of Jin Xuandi Ji&quot;: &quot;Shuang and Fan Nei are sparse and unwise, and horses love stack beans, so they must not be used.&quot;"
45,厚德载物,"Song Yan Yu&#39;s &quot;Poems of Canglang Poetry Commentary&quot;: &quot;Li Du Shugong is like gold smashing the sea, and Xiangxiang crossing the river.&quot;"
46,敬业乐群,"Eastern Han Dynasty Ban Gu&#39;s &quot;Eastern Capital Fu&quot;: &quot;If you don&#39;t have a lot of fun, you can&#39;t kill everything.&quot;"
47,无偏无党,"&quot;The Analects of Confucius, Liren&quot;: &quot;The faults of people are also in their own party. If you have seen them, you will know benevolence.&quot;"
