,Chengyu,Definitions
0,深入人心,"Ming Shi Nai&#39;an &quot;Water Margin&quot; Chapter 40: &quot;Since my brother has been in official business, my brother has been restless, and there is no way to save it.&quot;"
1,汗流浃背,"Deuteronomy of the Old Testament: &quot;An eye for an eye, a tooth for a tooth, a hand for a hand, a foot for a foot.&quot;"
2,无所不为,"Song Wen Tianxiang&#39;s &quot;Qinyuanchun·Ti Zhangxu Shuangmiao&quot; lyrics: &quot;Life is dying, so I have to do a lot.&quot;"
3,兴妖作怪,"&quot;Gongyang Biography: The Four Years of Duke Xi&quot;: &quot;Yi and Di, because of the pain of China, Nanyi and this Di are allied, and China is endless.&quot;"
4,无所顾忌,Ming Feng Menglong&#39;s &quot;Records of the Kingdoms of the Eastern Zhou Dynasty&quot;: &quot;Gongsun Guan led the sergeants and arrested the chariots and soldiers.
5,避实就虚,"Tang Luyan&#39;s &quot;Quatan Sentence&quot;: &quot;Dou Li is a sail fan as a boat, and you can travel anywhere in the world.&quot;"
6,哀鸿遍野,"Qing Li Baojia&#39;s second episode of &quot;Official Scenes&quot;: &quot;I never slept that night. I did this and that for him, and I was so busy.&quot;"
7,临阵磨枪,"Ming Ling Puchu&#39;s &quot;Surprise at the Second Moment&quot; Volume 11: &quot;Murder is not worth your life, if you don&#39;t kill to pay for your life, the dead and the living are full of grievances, even if the government is unknown, the emperor naturally inspects it. this case.”"
8,春华秋实,"Tang Sun Qiao&#39;s &quot;Sacrifice Zitong Shenjun Wen&quot;: &quot;The lame horse is a servant, and the front is the servant.&quot;"
9,大放厥词,"Song Xin Qiji&#39;s &quot;Linjiang Immortal&quot; lyrics: &quot;A hundred years of life, a hundred years of heart, more joyful and sighing, no disease but also groaning.&quot;"
10,谨言慎行,"&quot;Zhuangzi: Lie Yu Piu&quot;: &quot;The skillful person works hard and knows (wisdom) worry, the incompetent has nothing to ask for, and he is full of food and wanders.&quot;"
11,官样文章,"&quot;Baopuzi, Inner Chapter, On Immortals&quot;: &quot;Trying to leave the house, the desires of the ears and eyes, it is different, and it has a sense of heaven and earth (comparison), and it is obedient.&quot;"
12,颠扑不破,"&quot;Historical Records: The Biography of Pingyuan Jun and Yuqing&quot;: &quot;This small place is Fuyu, so Qin will attack the king again in the coming year, and the king will have sex without cutting it?&quot;"
13,巧舌如簧,"Yuan Anonymous&#39;s &quot;Peach Blossom&quot; 3rd fold: &quot;He made an oath of the mountains and seas, and slept in the tent of Luo Weijin.&quot;"
14,唉声叹气,"&quot;Book of Rites, Yuzao&quot;: &quot;Anyone who calls himself the ruler of a small country is called an orphan.&quot; &quot;Mencius: King Hui of Liang&quot;: &quot;If a few people are in the country, they will do their best.&quot;"
15,艰苦卓绝,"Song Su Shi&#39;s &quot;Congratulations to Young Master Ouyang on his official career&quot;: &quot;Courage is like cowardice, and wisdom is like ignorance.&quot;"
16,跃然纸上,"Han Wang Chong&#39;s &quot;Lunheng·Bietong&quot;: &quot;eat and drink fast, think deeply and seek to lie down, the abdomen is the pit of rice, and the intestines are the wine bag.&quot;"
17,逃之夭夭,"&quot;Easy · Need&quot;: &quot;There are three uninvited guests, and the end of the day is good.&quot;"
18,信口开河,"Qing Zhao Yi&#39;s &quot;Eaves Exposure Miscellaneous Notes&quot; Volume 1: &quot;Every tens of steps, there is a stage, with a southern accent and a northern accent, preparing for the joy of the Quartet.&quot;"
19,徒劳无益,"Song Su Shi&#39;s &quot;Thanks to the Minshishu&quot;: &quot;The general outline is like flowing clouds and flowing water, there is no fixed quality at the beginning, but you always follow what you should do, and you can&#39;t stop."
20,金戈铁马,"Tang Han Yu&#39;s &quot;Ping Huaixi Stele&quot;: &quot;Gaozong Zhongrui, rest and recuperate.&quot;"
21,以邻为壑,"Ming Xu Zhonglin&#39;s &quot;Fengshen Romance&quot; Chapter 48: &quot;Good demon: &#39;How dare you say such a thing to hurt people, and deceive me too much.&#39;&quot;"
22,感激涕零,"Tang Hanyu&#39;s &quot;The Epitaph of Siyedou Cemetery, the Son of Tang&#39;s Homeland&quot;: &quot;The public became famous in one fell swoop.&quot;"
23,震天动地,"Song Shi Daoyuan&#39;s &quot;Jingde Chuan Denglu&quot;: &quot;When the family is destroyed, where will the son go?&quot;"
24,声名狼藉,"Qing Cui Hao&#39;s &quot;Popular Editing: Yan Xiaoxiao&quot;: &quot;Don&#39;t learn from others, don&#39;t know the day and night, go to the enlightened countryside and make irresponsible remarks.&quot;"
25,不了了之,"Yuan Guan Hanqing&#39;s &quot;Save the Wind and Dust&quot; first fold: &quot;Zhennai is a bandit prostitute, and they are half-hearted.&quot;"
26,以儆效尤,"Qing Shi Yukun&#39;s &quot;Three Heroes and Five Righteousness&quot; Chapter 61: &quot;Beixia was originally a careless person, he couldn&#39;t refuse, and he went to Mohua Village.&quot;"
27,克己奉公,"Ming Feng Menglong&#39;s &quot;Ancient and Modern Novel: Jiang Xingge&#39;s Reunion with Pearl Shirt&quot;: &quot;You are so vicious, and you are also laughed at, saying that you are ruthless and unjust.&quot;"
28,天南地北,"Yuan·Wu Changling&#39;s &quot;Zhang Tianshi&quot;: &quot;Plum Blossom Cloud: My plum blossom... Who can match the jade bone and ice muscle, Aoxue Lingshuang won the first place.&quot;"
29,兴师问罪,"&quot;Guliang Biography: The Twenty-two Years of Duke Xi&quot;: &quot;The reason why words are words is to believe. If words are not believed, why are words?&quot;"
30,大公无私,"&quot;Bao Puzi: Immortals&quot;: &quot;What a husband sees is less, and he is more strange, and it is common in the world.&quot; Han Mou Rong &quot;Muzi&quot;: &quot;If you see less, you will be strange. When you see a camel, it is called a horse&#39;s swollen back.&quot;"
31,时不我待,"Yuan·Wuhan Chen&#39;s &quot;Shengjin Pavilion&quot; 30% off: &quot;Why don&#39;t you tell me, you just kicked me with flying fists and kicked me.&quot;"
32,见所未见,Jin Yuanhong&#39;s &quot;Later Han Dynasty&quot; Volume 10: &quot;The minister is ignorant and does not know the general situation.&quot;
33,见义勇为,"&quot;Recalling Deng Tuo, Deng Tuo and People&#39;s Daily&quot;: &quot;He believes that all successful people in ancient and modern times take their lives seriously and do not waste their time.&quot;"
34,手足无措,&quot;Book Da Yumo&quot;: &quot;There are a lot of people.&quot;
35,言之凿凿,"Tang Hanyu&#39;s &quot;Listening to Master Ying Playing the Piano&quot;: &quot;It&#39;s impossible to climb the ranks, and it&#39;s downhill to become stronger.&quot;"
36,知无不言,"Ming Luo Guanzhong&#39;s &quot;Romance of the Three Kingdoms&quot; thirteenth chapter: &quot;There are no taboos, and no one in the court dares to speak.&quot;"
37,乐善好施,"Yuan Zheng Tingyu&#39;s &quot;Chu Zhaogong&quot; the fourth fold: &quot;The lord made him an alliance mansion, and he shared a sword with him, and raised a tripod before the banquet, which is too deceiving.&quot;"
38,肆无忌惮,"Ming Feng Menglong&#39;s &quot;Ancient and Modern Novels&quot; 22: &quot;At this time, the Mongolian siege is very urgent, Ezhou will be broken, and it seems that the heart is broken, so dare to go forward?&quot;"
39,汹涌澎湃,"Haoran&#39;s &quot;Bright Sunshine&quot; Chapter 86: &quot;Turn around to look at this group of people, and said with a pun: &#39;I will announce again, who wants to fish in troubled waters and stir up trouble, that can&#39;t be done.&#39;&quot;"
