,Chengyu,Definitions
0,穿针引线,"&quot;The Biography of Jia Don&quot; in the Book of Han: &quot;When the prince writes down, his words are wonderful in the world.&quot;"
1,别出心裁,"Tang Bai Juyi&#39;s &quot;Song of Everlasting Sorrow&quot;: &quot;Yu Rong is lonely and tears are dry, and a pear blossom brings rain in spring.&quot;"
2,见风使舵,"&quot;Zuo Zhuan: The Fourteenth Year of Duke Zhuang&quot;: &quot;Demons are made by people. People are not provocative, and demons do not make themselves.&quot;"
3,战战兢兢,"&quot;Zhuangzi · Human World&quot;: &quot;Mountain trees are self-defeating, and ointment fire is self-decoction.&quot;"
4,头重脚轻,"&quot;Southern History Xie Lan Biography&quot;: &quot;The spirit is leisurely and elegant, and the vision is smart. Emperor Wu watched him for a long time, and said to Xu Mian: &#39;I feel that this life is fragrant orchid.&#39;&quot;"
5,美不胜收,"&quot;Easy Big Animal&quot;: &quot;Strong and downright, the brilliance is new.&quot;"
6,人云亦云,"&quot;Warring States Policy Wei Ce IV&quot;: &quot;Nie Zheng&#39;s assassination of Han Puppet also, the white rainbow pervades the sun.&quot; &quot;Historical Records, Lu Zhonglian Zou Yang Biography&quot;: &quot;In the past, Jing Ke admired the meaning of Yandan, the white rainbow permeated the sun, and the prince feared it. .&quot;"
7,千言万语,"&quot;Book of Songs, Zhou Song, Min Yu Boy&quot;: &quot;Min Yu boy, he was not made by his family, and Huanhuan is guilty.&quot;"
8,三思而行,"The Western Han Dynasty Jia Yi&#39;s &quot;On the Policy of Public Security&quot;: &quot;Therefore, a Yu-Rang is also an anti-monarch and an enemy, and the behavior is like a dog.&quot;"
9,弱肉强食,"&quot;The Rites of Zhou·Heavenly Official·Sewing the People&quot; &quot;In mourning, the coffin is sewn for decoration.&quot; Han Zhengxuan commented: &quot;So the book is a horse, and Du Zichun said that it should be a horse.&quot; Ancient proverb: &quot;Books are written three times, and Wu Yan becomes a horse. .&quot;"
10,触景生情,"Ming Xu Wei&#39;s &quot;Dream of Cuixiang&quot; first came out: &quot;I don&#39;t want to say goodbye now. To be honest, the mill is two rounds. Yeah, I&#39;ll tell Liu Ye Yayuan about these points.&quot;"
11,喧宾夺主,"Liu Xiang of the Western Han Dynasty, &quot;Warring States Policy: Chu Ce Four&quot;: &quot;The teeth of my husband are coming, and I take the salt cart and go up the road, and my hoofs and knees are broken.&quot;"
12,任重道远,"&quot;Book of Changes&quot;: &quot;Knowing all things in the Zhou Dynasty, Dao helps the world.&quot;"
13,锦上添花,"&quot;Confucius&#39;s Words: Thinking&quot;: &quot;Casting swords is accustomed to be used as an agricultural tool, and cattle and horses are kept in the original barn. The family has no thoughts of leaving the open space, and there is no danger of fighting in a thousand years.&quot;"
14,青黄不接,"Dai Sheng&#39;s &quot;Book of Rites, Engagement&quot;: &quot;Guizhang Teda, virtue.&quot;"
15,喋喋不休,"Yuan·Anonymous&#39;s &quot;Hundred Flowers Pavilion&quot; the third fold: &quot;Wang Huan also learned both civil and military skills, and cultivated both talents and abilities.&quot;"
16,高谈阔论,"Tandoori Fu&#39;s &quot;Zhuangyou&quot; poem: &quot;In the Qi Zhaojian, Qiu Ma is quite mad.&quot;"
17,谈笑风生,"&quot;Zuo Zhuan: Zhaogong Three Years&quot;: &quot;Two Huis are still good, but one is weaker, Jiang Qi is in danger.&quot;"
18,乘人之危,"Western Han Dynasty Sima Qian&#39;s &quot;Historical Records: Li Sheng Lu Jia Biography&quot;: &quot;Pei Gong was delighted, he gave Li raw food, and asked: &#39;The plan will be released&#39;&quot;&quot;"
19,强词夺理,"Southern Dynasties Song Liu Yiqing &quot;Shi Shuo Xin Yu Jian Ao&quot;: &quot;Ji Kang and Lv Anshan, every lovesickness, traveled thousands of miles. An later, when Ji Kang was not there, he was happy to leave the house and extended it, and he did not enter. The title is written&quot; Feng&#39; character left.&quot;"
20,波澜壮阔,"&quot;Dafang Guangfo Huayan Sutra&quot;, Volume 36: &quot;It is like the King Garuda, who flies in the void, dwells in the void, observes the palace of the Dragon King on the sea with pure eyes, and fights the sea with his left and right wings with courage and strength. Dragons and men and women who have lost their lives will be picked up.&quot;"
21,对症下药,"&quot;Yi Da Guo&quot;: &quot;Withered poplars give birth to scorpions, and the old man has his wife.&quot;"
22,茅塞顿开,"Song Yan Yu&#39;s &quot;Canglang Poems and Poetry Discrimination&quot;: &quot;People in the prosperous Tang Dynasty were only interested, and antelopes hung their horns, and there was no trace to be found.&quot;"
23,光明磊落,"Qing Cao Xueqin&#39;s &quot;Dream of Red Mansions&quot; Chapter 120: &quot;Rong Ning and Rong Ning today, the good people cultivate their ties, and the bad people regret their misfortunes. In the future, Lan Gui Qi Fang, and the family&#39;s way is restored. It is also a natural reason.&quot;"
24,显而易见,"Song Su Shi&#39;s &quot;Four Songs of the Residence of Yu Kangzhi&#39;s Langzhong in the Xiaogong Palace&quot;: &quot;There are countless springs in the garden, but only Huang Yang&#39;s leap year.&quot;"
25,天翻地覆,&quot;The Book of Han: The Biography of Wu Shi&quot;: &quot;This minister sees the elk visiting the platform of Suzhou.&quot;
26,另起炉灶,"Warring States, Zou Mengke, &quot;Mencius: Under the Heart&quot;: &quot;There is no righteous war in the Spring and Autumn Period.&quot;"
27,东张西望,"Qing Wu Renchen&#39;s &quot;Jingzong Ji of the Ten Kingdoms Spring and Autumn Period&quot;: &quot;The emperor said: &#39;Wei Yue is very small, why does he drink so much?&#39; Left and right said: &#39;Wine has different intestines, so you don&#39;t have to grow up.&#39;&quot;"
28,吹毛求疵,"&quot;The Analects of Confucius · Ba Yi&quot;: &quot;Xia Liwu can say it, but Qi is not enough to sign; Yin Liwu can say it, but Song is not enough. That&#39;s why there is not enough literature.&quot;"
29,捕风捉影,&quot;Poetry Xiaoya Baiju&quot;: &quot;The bright white horse is in the empty valley.&quot;
30,咬文嚼字,Pre-Qin Li Er&#39;s &quot;Lao Tzu&quot;: &quot;Fu Jia soldiers are ominous weapons and evil things.&quot;
31,孤芳自赏,"&quot;Southern History: The Biography of Wang Zhen Evil&quot;: &quot;Dan said to Zhu Zuo: &#39;Zhu Evil, Wang Mengsun, the so-called generals have generals.&#39;&quot;"
32,一言九鼎,&quot;Book · Wuyi&quot;: &quot;The difficulty of the prophet&#39;s harvest is Yiyi.&quot;
33,扶摇直上,"&quot;Old Tang Book: Xue Deng Biography&quot;: &quot;Recently recommended, many are not based on talent, fake reputations, and praise each other.&quot;"
34,避重就轻,"&quot;Guan Yinzi Five Mirrors&quot;: &quot;For example, the rhinoceros is looking at the moon. The shape of the moon enters the horn, and it is because of knowledge that it has the shape of the moon, and the true month of the month is not in the horn.&quot;"
35,单枪匹马,&quot;New Book of Tang: Biography of Zhang Wanfu&quot;: &quot;I say that the Jianghuai vegetation also knows the name of Erwei.&quot;
36,无可奈何,"Liang Yuan Ang of the Southern Dynasties &quot;Book Review of Ancient and Modern&quot;: &quot;Wei Changshu is like a beautiful flower arrangement, dancing and laughing on a mirror stage.&quot;"
37,溜之大吉,"&quot;Historical Records: Biography of the Marquis of Wu&#39;an of Wei Qi&quot;: &quot;Wu&#39;an was angry, impeached Guanfu and scolded him for being disrespectful, and he was a bedroom.&quot;"
38,齐心协力,"From the Yuan drama &quot;Battle for Treasures in Lintong&quot;: During the Spring and Autumn Period, Duke Mu of Qin conspired to invite princes of seventeen countries to Lintong to attend the meeting."
39,同甘共苦,"&quot;Poetry, Xiaoya, Bluefly&quot;: &quot;Engage bluefly, stop at Fan, how can I be a gentleman, and I don&#39;t believe in slander.&quot; Han Wang Chong&#39;s &quot;Lunheng·Injury&quot;: &quot;Clear dust, white get dirt; bluefly The dirt is often practiced.&quot;"
40,一目了然,"Southern Dynasty·Song·Fan Ye&#39;s &quot;Book of the Later Han Dynasty·Liu Xuanzhuan&quot;: &quot;Bad material hurts the brocade, and it is appropriate to consider.&quot;"
41,舍己为人,"Qing Yan Fu&#39;s &quot;On the Retreat of China&#39;s Education and Transformation&quot;: &quot;Walking in the wild, Lu and Yan are blocked, and hit the soil to play, so the people govern the world.&quot;"
42,一成不变,"&quot;Book of Northern Qi: The Biography of Wang Sihao of Nan&#39;an&quot;: &quot;If you strike a thief like a falcon and enter the crows, you should think of good things.&quot;"
43,一网打尽,"Qing Wang Wan&#39;s &quot;Answer to Li Juren&#39;s Theory with History to Prove the Classics&quot;: &quot;Chang Yan has no taboos, and I hope to give you an answer.&quot;"
44,满载而归,"Qing Dynasty Zhu Yizun&#39;s &quot;Shangqiu Song&#39;s Family Ride&quot; preface: &quot;In the seventeenth year, the state was extravagant to show it to be frugal, and it was troublesome to do it with simplicity, and it was a month to meet every year."
45,斩钉截铁,"Song Shi Puji&#39;s &quot;Five Lantern Festival&quot;: &quot;A lion with a straight beard bites a person, don&#39;t learn from Han and Lu.&quot;"
46,照本宣科,"&quot;Zhuangzi · Qiwu Lun&quot;: &quot;The people eat the cud, the elk and the deer are recommended, and the sweet belt, and the ravens are addicted to mice, which of the four know the right taste.&quot;"
