,Chengyu,Definitions
0,安邦治国,"Tang Liu Zongyuan&#39;s &quot;Answer to Wei Zhongli Lun Shi Dao Shu&quot;: &quot;Qu Zi Fu said: &#39;The dogs bark in Yi, and the barking is to blame.&#39; When the servants go to Wenyong and the south of Shu, there are few days of constant rain, and the dogs bark at sunrise.&quot;"
1,循环往复,"Qing·Wu Jianren&#39;s &quot;Pain History&quot; Chapter 13: &quot;Look at the way the search looked like two days ago, only the guest apartment where we were staying was already a mess, and the ghost was crying.&quot;"
2,含辛茹苦,"Tang Xu Hun&#39;s poem &quot;Ti Du Jushi&quot;: &quot;The machine is full of heart and soul, and the spirit is idle and horses.&quot;"
3,不疾不徐,Guo Moruo&#39;s &quot;Cai Wenji&quot; Act 2: &quot;Prime Minister Cao is burly and dignified.&quot;
4,不矜不伐,"Han Yang Yun&#39;s &quot;Book of Reports to Sun Huizong&quot;: &quot;When you are happy in life, you must be rich and honorable. It is the day, and you will be happy when you brush your clothes, and your sleeves will be low, and your feet will dance. Sincerely lewd and wasteful, I don&#39;t know it&#39;s impossible.&quot;"
5,浩浩荡荡,"&quot;The Book of Northern Qi: The Biography of King Langxie&quot;: &quot;King Langxie was young, with a fat stomach and a full brain, so he took light measures.&quot;"
6,龙争虎斗,"The first scene of Cao Yu&#39;s &quot;Wang Zhaojun&quot;: &quot;Mrs. Jiang walked down gracefully, and Yingying and Qi Qi respectfully escorted them out.&quot;"
7,漫山遍野,"&quot;Sui Shu Xun Li Zhuan Zhao Gui&quot;: &quot;Don&#39;t be in the office, water and fire will not be handed over to the people, so you don&#39;t dare to send them with a pot of wine.&quot;"
8,精疲力竭,"Han Xu Shen&#39;s &quot;Shuowen Jiezi&quot;: &quot;Bone, eat bones and stay in the throat.&quot; Duan Yucui commented: &quot;Wei said: &#39;Bone is the reason for the bite, and it stabs people.&#39; Loyal words are against the ear, like eating bones in the throat, so The minister of the cloud bone scorpion. The &quot;Han Shu&quot; and the following are all called bone scorpion, and the word comes from fish, which means that there are more fish bones in the throat.&quot;"
9,绿水青山,"On the volume of Liang Zhongrong&#39;s &quot;Poems&quot; of the Southern Dynasties: &quot;The text is warm and beautiful, and the meaning is sad and far away. It is thrilling, and it can be said to be almost a thousand words!&quot;"
10,艰难险阻,&quot;Historical Records: The Biography of Lian Lin Xiangru&quot;: &quot;The death of Xiangru and Huan are the acquaintances of cutting the neck.&quot;
11,民富国强,"Song Dynasty Yan Shu&#39;s &quot;Huanxisha&quot; lyrics: &quot;There is no choice but to fall, and it seems that Yan has returned.&quot;"
12,豁达大度,"&quot;Historical Records: Xiang Yu&#39;s Chronicle&quot;: &quot;Because he ordered the army to say: &#39;Ferocious like a tiger, very like a sheep, greedy like a wolf, and if you are too strong, you will kill them.&#39;&quot;"
13,公正无私,"&quot;Xunzi: Chen Dao&quot;: &quot;It is not sympathetic to the honor and disgrace of the ruler, or the possessions of the state, but steals the respect and honors, and only pays attention to the support of the salary. It is called a traitor of the state."
14,千叮万嘱,"&quot;Zuo Zhuan·Ai Gong Twenty-five Years&quot;: &quot;It&#39;s too much to break my word, can I lose weight?&quot;"
15,侠肝义胆,&quot;Records of the Grand Historian: The Chronicle of Xiang Yu&quot;: &quot;Zhang Liang said thanks: &#39;Pei Gong is invincible and cannot quit.&#39;&quot;
16,举手投足,"Tang Hanshan&#39;s &quot;Poems&quot;, No. 208: &quot;I see that I lied to people, like a basket full of water, and I will go home in one breath. How can there be anything in the basket?&quot;"
17,千山万壑,Yuan·Anonymous&#39;s &quot;Peach Blossom&quot; 4th fold: &quot;This scene is rushing like a ghost.&quot;
18,七情六欲,"Qing·Li Yu&#39;s &quot;Leisurely Feelings, Bedrooms, Houses&quot;: &quot;The success of constructing garden pavilions cannot be self-inflicted, like a literati who marks new things.&quot;"
19,奇谈怪论,"Ming Xie Xie&#39;s &quot;Four Joys: Qiaoxi Palace Banquet&quot;: &quot;In the palace, Mrs. Zheng is the daughter of Zheng Shenzheng. She was elected to the palace a few months ago."
20,生死存亡,"Ming Luo Guanzhong&#39;s &quot;Romance of the Three Kingdoms&quot; Chapter 119: &quot;The public is debauched and immoral, the sages fail, and it is reasonable to kill them.&quot;"
