,Chengyu,Definitions
0,无出其右,&quot;New Book of Tang - Zhang Xuansu Biography&quot;: &quot;Zhang Gong has the power to return to the sky when he talks about things.&quot;
1,大书特书,Qing Zhou Yongnian&#39;s &quot;Confucianism&quot;: &quot;The ancient and modern records are as vast as a sea of smoke.&quot;
2,积土成山,"&quot;The Thirty-Three Years of Zuo Zhuan Xi Gong&quot;: &quot;Jiuji envoy to Ji, see Ji lacks Nu, his wife, respect, treat each other like a guest.&quot;"
3,集腋成裘,"Yuan·Anonymous&#39;s &quot;The Enemy Creditor&quot; first: &quot;This big boy wears the stars and wears the moon, wakes up early and sleeps late.&quot;"
4,聚沙成塔,"Chapter 21, Volume 1 of Yao Xueyin&#39;s &quot;Li Zicheng&quot;: &quot;It&#39;s not difficult for a woman to know a few martial arts, but the difficulty is that she is a big girl who has not yet been born, and can lead a group of people to go south and north on the rivers and lakes.&quot;"
5,自强不息,Song Pan Dalin&#39;s &quot;Ti Wall&quot; poem: &quot;The city is full of wind and rain near Chongyang.&quot;
6,国泰民安,"&quot;Xunzi · Feixiang&quot;: &quot;Ye Gongzi is tall, small, short and barren, and if he travels, he will not be able to match his clothes.&quot;"
7,敷衍了事,"Tang Hanyu&#39;s &quot;Journey to Study&quot;: &quot;Immersed in richness, including Ying Juhua.&quot;"
8,再接再厉,"Tang Hanyu&#39;s &quot;Journey to Study&quot;: &quot;The obstacles are hundreds of rivers and east, and the tide will return to the fall.&quot;"
9,评头论足,"The fourth fold of Yuan Wuming&#39;s &quot;Cinnabar Dan&quot;: &quot;As soon as he said a word, the wicked avoided it, and when he was agitated early, he made a fuss about right and wrong, and there was also a desire to make money.&quot;"
10,息事宁人,The second fold of Yuan Guan Hanqing&#39;s &quot;Golden Thread Pool&quot;: &quot;I saw him throw Deng Deng and add fuel to the fire.&quot;
11,开宗明义,The second fold of Yuan Ma Zhiyuan&#39;s &quot;Autumn in the Han Palace&quot;: &quot;Seeing Wang Zhaojun makes me like a madman and a drunk.&quot;
12,通力合作,"&quot;Han Shu Jia Yi Biography&quot;: &quot;If you want to throw a rat, you should avoid the weapon.&quot;"
13,闭门造车,"&quot;Lv&#39;s Spring and Autumn Period: Dangbing&quot;: &quot;There are people who choked the dead and want to forbid the world&#39;s food, but they are disobedient.&quot;"
14,郁郁葱葱,"Tang Chen Hong&#39;s &quot;The Legend of Everlasting Regret&quot;: &quot;The Jade Concubine stood back in a daze, thoughtful.&quot;"
15,一概而论,"&quot;Mencius: The Second Prince of Liang Hui&quot;: &quot;The old without a wife is called widow, the old without a husband is called widow, the old without a son is called the only one, and the young without a father is called an orphan; these four are the poor people in the world who have no report. .&quot;"
16,好逸恶劳,"&quot;Zhuangzi Tian Zifang&quot;: &quot;The husband&#39;s grief is greater than the death of the heart, and the death of the person is also second.&quot;"
