,Chengyu,Definitions
0,心心相印,&quot;Zizhitongjian·Tangji·Xuanzong Tianbao First Year&quot;: &quot;It is said that Li Linfu &#39;has honey in his mouth and a sword in his belly&#39;.&quot;
1,人浮于事,"Tang Mengjiao&#39;s poem &quot;After Dengke&quot;: &quot;The spring breeze is proud of horseshoe disease, and I can see all the Chang&#39;an flowers in one day.&quot;"
2,大有作为,"Tang Mengdi&#39;s &quot;Poems of Ability, Emotions&quot; contains Liu Yuxi&#39;s poem: &quot;It is common to see messy things, and it will break the history of Jiangnan governors.&quot;"
3,问心无愧,"&quot;Old Tang Book: The Biography of Li Yifu&quot; &quot;In the old days, people said that there was a knife in their smile&quot;"
4,改邪归正,&quot;The Biography of Bian Rang in the Later Han Dynasty&quot;: &quot;This statement is inherently inappropriate for small use.&quot;
5,不谋而合,"&quot;The Analects of Confucius, Gongye Chang&quot;: &quot;Sensitive and eager to learn, not ashamed to ask.&quot;"
6,千钧一发,&quot;Song History - Cai Youxue Biography&quot;: &quot;Too many people are in the court but not a single chip.&quot;
7,斤斤计较,Many heroes in &quot;Water Margin&quot; were forced to rebel in Liangshan.
8,背道而驰,&quot;Han Shu · Wang Mang Chuan Shang&quot;: &quot;I have no choice but to be ordered.&quot;
9,理所当然,"Song Su Shi&#39;s &quot;Qian Chibi Fu&quot;: &quot;The mayfly is sent to the sky every day, one of the grains in the vast ocean.&quot;"
10,出生入死,Song Ouyang Xiu&#39;s &quot;Book with Mei Sheng Yu&quot;: &quot;The old man should avoid the road and let him go.&quot;
11,卑躬屈膝,"&quot;Song History · Kou Zhun Biography&quot;: &quot;The blogger wants to lose all his money, but he runs out of all the money, which is called an orphan.&quot; &quot;Book of Jin He Wuji Biography&quot;: &quot;Liu Yi&#39;s family has no treasure of stone, and he is one of them. Toss a million.&quot;"
12,一孔之见,"&quot;Mencius Gongsun Chou Shang&quot;: &quot;Because of its kind, it is outstanding. Since the life of the people, it has not been popular with Confucius.&quot;"
13,左顾右盼,&quot;Warring States Policy: Qi Policy&quot;: &quot;Is it okay for the year? The people are okay? The king is okay?&quot;
