,Chengyu,Definitions
0,焦头烂额,"Qing Wang Wan&#39;s &quot;Book with Counselor Mr. Shi&quot;: &quot;Wan Yin worry (car feeling) Ke, aged before aging.&quot;"
1,妄自尊大,"Jin Li Mi&#39;s &quot;Chen Qing Table&quot;: &quot;People&#39;s lives are in danger, and there is no need to worry about the night.&quot;"
2,曾几何时,&quot;Zhu Ziyu Lei&quot; Volume 73: &quot;The sage&#39;s bottom line is fair and upright.&quot;
3,飞扬跋扈,"The eighth chapter of Qing Wu Jingzi&#39;s &quot;School of Foreign Studies&quot;: &quot;I really did not choose the road. After a few days of dry roads, I took a boat and went all the way to Wuzhen, Zhejiang.&quot;"
4,良辰美景,"Yuan Anonymous&#39;s &quot;Two Soldiers and Divisions Fighting Wisdom Across the River&quot;: &quot;This week, Yu and his husband have come to claim the ground in Jingzhou, and now they are camping at Chaisang Ferry, which is not a small thing.&quot;"
5,锦绣河山,"&quot;Book of Jin: Biography of Yuyi&quot;: &quot;This generation should be placed in a high pavilion, and when the world is at peace, then discuss his appointment.&quot;"
6,徒劳无功,"&quot;The Analects of Confucius, Yanghuo&quot;: &quot;If you have gained it, you will lose it, and if you worry about losing it, you can go anywhere.&quot;"
7,为人师表,Tang Mengjiao&#39;s poem &quot;The Wanderer&#39;s Song&quot;: &quot;Whoever says an inch of grass will be rewarded with three spring rays.&quot;
8,重于泰山,"&quot;Book of Songs: The Biography of Shen Qing&quot;: &quot;Your Majesty wants to conquer the country now, and he and the white-faced scholars are plotting it. Why do you help?&quot;"
9,牵肠挂肚,"The fourth chapter of Qing Zhang Chunfan&#39;s &quot;Huanhai&quot;: &quot;At this time, Shao Xiaolian was like a small platform maker. One was one, and two was two. Zhuang Zhijun never refuted him.&quot;"
10,惨不忍睹,Yuan·Li Xingdao&#39;s &quot;Grey Lanji&quot; 2nd fold: &quot;My mother accepts at least seven or eight a day. I remember such a long time.&quot;
11,守口如瓶,"Song Huang Tingjian&#39;s &quot;Ode to Zhuo Xuan&quot;: &quot;It is self-defeating, and it is self-defeating for the snake.&quot;"
12,患得患失,&quot;Easy · Li&quot;: &quot;Suddenly.&quot;
13,豁然开朗,"Ming Shi Nai&#39;an&#39;s &quot;Water Margin&quot; Chapter 38: &quot;Dai Zong said: &#39;You two are close friends this time. As the saying goes: If you don&#39;t fight, you won&#39;t know each other.&#39;&quot;"
