,Chengyu,Definitions
0,出神入化,"&quot;Han Feizi Eight Commentaries&quot;: &quot;According to merit and rewarding, Cheng Neng and instructing.&quot;"
1,枉费心机,"Han Kong Rong&#39;s &quot;Recommend Mi Hengbiao&quot;: &quot;Seeing the good is like a shock, and the evil is like hatred.&quot;"
2,一技之长,"&quot;Historical Records: Biography of Han Anguo&quot;: &quot;The arrow is too strong to penetrate Lu.&quot; &quot;Han Book of Han Anguo Biography&quot;: &quot;And I heard that, when the wind is weakened, the feathers cannot be raised; at the end of the strong crossbow, the force cannot penetrate Lu Zhan.&quot;"
3,洁身自好,"Song Luo Mi&#39;s &quot;Lu Shi Qian Ji&quot; Volume 4: &quot;In the past, Emperor Wu of the Han Dynasty was very big and happy.&quot; &quot;New Book of Tang, Taizong Ji Zan&quot;: &quot;It is because of his love and restoration of the Buddha. Greatly rejoicing in meritorious deeds, diligent soldiers far away, this is what Zhongcai Yongzhu often does.&quot;"
4,未老先衰,"Han Bangu&#39;s &quot;Han Wu Story&quot;: &quot;If you get Gillian to be a wife, you can store it as a golden house.&quot;"
5,群策群力,"&quot;Historical Records Jizheng Biography&quot;: &quot;First Zhai Gong was a court officer, and guests were invited to Tianmen; and if it was abolished, the six outer regions could be set up.&quot;"
6,忍气吞声,"&quot;The Biography of Jia Yi in the Book of Han&quot;: &quot;It is regarded as killing people, like wormwood.&quot;"
7,光明正大,"&quot;Records of the Grand Historian: Biography of Ning Xing&quot;: &quot;Unexpectedly, I didn&#39;t name a piece of money, and I sent it to others to die.&quot; Han Wang Chong&#39;s &quot;Lunheng·Bone Phase&quot;: &quot;There is a crime of stealing and casting money, and Emperor Jing&#39;s test is passed to death, and it is sent to death, but it is not named. A penny.&quot;"
8,安营扎寨,&quot;Han Book of Zhao Chongguo Biography&quot;: &quot;A hundred hearings are better than seeing them once. It is difficult for soldiers to be far away. The minister is willing to rush to Jincheng.
9,束之高阁,"&quot;Book of the Later Han Dynasty: Ding Hong&#39;s Biography&quot;: &quot;If the government is to be responsible and Du Jian to prevent Meng, then the evil monster will be eliminated, and the harm will be eliminated.&quot; in the future.”"
10,无所不至,"&quot;Liang Shu·Yuandi Ji&quot;: &quot;The situation will rise, and the agitation will lead to the fall of Songhua.&quot;"
11,寸草春晖,"&quot;Zhuangzi·Robber Zhi&quot;: &quot;Yao and Shun have the world, and their descendants have no place to put a cone.&quot; &quot;Historical Records Liuhou Family&quot;: &quot;After the destruction of the six kingdoms, there is no place for a cone.&quot;"
12,不自量力,"&quot;Book of Jin: Du Xi&#39;s Biography&quot;: &quot;The prince who moved tiredly moved the prince in the middle of the house. He was bright and straight, loyal and fierce, repeatedly admonished the prince, and his words were sincere."
13,弄巧成拙,"&quot;The Analects of Confucius, Township Party&quot;: &quot;DPRK, talk to the next doctor, and talk like a man.&quot;"
14,出乎意外,"&quot;Historical Records: King of Yue Goujian Family&quot;: &quot;When the birds are exhausted, the good bows are hidden; the cunning rabbits die, and the lackeys cook them.&quot;"
15,突如其来,"&quot;Mandarin: Zhou Yuxia&quot;: &quot;All hearts form a city, all mouths speak gold.&quot;"
16,本来面目,"&quot;Zuo Zhuan: Duke Huan Twelve Years&quot;: &quot;If you are defeated, you will return it for the alliance under the city.&quot;"
17,井井有条,"&quot;Guliang Biography: The Thirty-two Years of Zhuanggong&quot;: &quot;It is as deep as a secret, and a secret is hidden. If you see something, it is not as deep.&quot;"
18,有口皆碑,"&quot;Zuo Zhuan: The First Year of Zhao&quot;: &quot;Small countries are innocent, and they rely on their crimes; they will rely on the peace and stability of large countries, and Wu is hiding evil intentions to plan them.&quot;"
19,浑然一体,"&quot;Zuo Zhuan: The Eighteenth Year of Chenggong&quot;: &quot;Zhou Zi had a brother but no wisdom, and could not distinguish Shumai, so he could not stand.&quot;"
20,雪上加霜,"Song Shi Weibai&#39;s &quot;Continued Chuan Deng Lu&quot;, volume 31: &quot;Hanging the sheep&#39;s head and selling dog meat, I know what evidence it has.&quot;"
21,流连忘返,"&quot;Zuo Zhuan·Xi Gong Four Years&quot;: &quot;The king is in the North Sea, and the few are in the South China Sea, but the wind, horses and cattle are not related.&quot;"
22,不以为然,"&quot;Plain Questions: The Great Theory of Four Qi Regulations&quot;: &quot;When a disease has been cured, then take medicine, and when disorder is established, then treat it. It is like thirsty and piercing a well, fighting and casting a cone, it is not too late!&quot;"
23,不见经传,&quot;Zuo Zhuan: Chenggong Seven Years&quot;: &quot;Yu will make you stop running and die.&quot;
24,食不果腹,"&quot;Zuo Zhuan: Xuangong Twelve Years&quot;: &quot;His assistant to Xiangu is stubborn and inhumane, and he is not willing to use his life.&quot;"
25,可有可无,"&quot;Lv&#39;s Spring and Autumn Period: Righteous Rewards&quot;: &quot;If you exhaust the pond and fish, won&#39;t you get it? And there will be no fish next year.&quot;"
26,刻不容缓,"&quot;Zuo Zhuan·Xianggong Eleven Years&quot;: &quot;Be prepared for danger in times of peace, think well, and be prepared for danger.&quot;"
