,Chengyu,Definitions
0,不分彼此,"Ming Wu Cheng&#39;en&#39;s &quot;Journey to the West&quot; chapter 11: &quot;Blood Pond Prison, Abi Prison, Libra Prison, peeling and revealing, broken arms and broken tendons, but only for the sake of making money, killing animals and slaughtering animals.&quot;"
1,千篇一律,"Tang Zhenggu&#39;s &quot;Yan&quot; poem: &quot;No one can speak a thousand words, and the warbler is over a short wall.&quot;"
2,百花齐放,&quot;The Book of Southern Qi Gongye Du&quot;: &quot;Ji Wenzi thinks twice before acting.&quot;
3,来者不拒,"Yuan · Wumingshi&#39;s &quot;Ghoulish Resentment&quot; song: &quot;The wind blows out the lanterns, and I can&#39;t help but see the scenery and feel the feelings, and I am sad.&quot;"
4,好高骛远,"&quot;Han Shu Biography of Wei&quot;: &quot;Those who rely on the greatness of the country and the masses of the people who want to see power over the enemy are called arrogant soldiers, and those who are arrogant will be destroyed.&quot;"
5,与人为善,Qing Yang Yizhi&#39;s &quot;Rucheng Diary&quot;: &quot;There is a tendency to overwhelm the guest and dominate the host.&quot;
6,格格不入,"Yuan Shang Zhongxian&#39;s &quot;Liu Yi&#39;s Biography&quot; wedge: &quot;I think that every time he has no kindness and righteousness, his nature is hard to change, and he leads me to Noda&#39;s declining grass and remnants of red.&quot;"
7,大快人心,"&quot;The Analects of Confucius, Taibo&quot;: &quot;Scholars can&#39;t be irresistible, and have a long way to go. Benevolence is one&#39;s own responsibility, isn&#39;t it too important? After death, isn&#39;t it too far?&quot;"
8,苦口婆心,"Song Huang Tingjian&#39;s &quot;Ode to Liao&#39;an&quot;: &quot;Fuweng will sing the ode again, and the picture will be the icing on the cake.&quot;"
9,轻描淡写,"Ming Feng Weimin&#39;s &quot;The official position is just right: Xu Woting returns to the field&quot;: &quot;The grandfather and grandson are empty-handed, the mother and son are hanging in the arms, and thank God they are all loving.&quot;"
10,操之过急,&quot;Han Book: The Biography of Zhang Shi&quot;: &quot;The Marquis of Jiang and the Marquis of Dongyang are called elders. These two people have never been able to express their words and things. How can they be like this stingy man who is eloquent and eloquent!&quot;
11,日积月累,"Han Cui Yuan&#39;s &quot;Motto&quot;: &quot;There is no Taoist&#39;s shortcomings, and no one&#39;s own strengths.&quot;"
12,安分守己,"Later Zhou of the Five Dynasties Wang Renyu&#39;s &quot;Kaiyuan Tianbao Legacy: The Debate of Walking Pills&quot;: &quot;Zhang Jiuling is good at talking, and every time he discusses the sutras with guests, he talks endlessly."
13,一日千里,"Ming Tao Zongyi&#39;s &quot;Drop Farming Record&quot; Volume 29: &quot;Bone is rhinoceros, snake horns are also poisonous in nature, and they can detoxify, so that poison can be used to fight poison.&quot;"
14,背信弃义,"Ming Luo Guanzhong&#39;s &quot;Romance of the Three Kingdoms&quot; forty-third chapter: &quot;One person in the seat suddenly said: &#39;What Kong Ming said, all of which are arrogant, are not true, and there is no need to say any more.&quot;"
15,万紫千红,"Qing Chen wrote &quot;Jade Mountain House Painting Outside Records&quot;, which was downloaded from Yun Xiang&#39;s &quot;Self-made Painting Album&quot;: &quot;It can be seen that one wants to serve the ancients and eat the ancients, but it is impossible to paint a tiger, or to carve a boat and ask for a sword.&quot;"
16,莫名其妙,"Song Bao Zhao of the Southern Dynasties &quot;Deng Da Lei An and My Sister Book&quot;: &quot;The passengers are poor, and the waves are magnificent.&quot;"
17,无稽之谈,"Qing Li Yu&#39;s &quot;Leisurely Love Occasionally Sent: Structure First&quot;: &quot;This is an obvious thing, and no one has ever argued it.&quot;"
18,老马识途,"Ming Feng Menglong&#39;s &quot;Ancient and Modern Novels&quot; Volume 1: &quot;San Qiaoer only believed in the words of Mr. Selling Gua, and only wanted her husband to come back. From this time, she often walked to the front building and looked around inside the curtain.&quot;"
19,骇人听闻,Tang Li Shangyin&#39;s Miscellaneous Compilation listed &quot;screaming among flowers&quot; and &quot;fire under the moon&quot; as &quot;killing scenery&quot;.
20,安如泰山,"Song Shi Daoyuan&#39;s &quot;Jingde Chuan Deng Lu&quot; Volume 12: &quot;If you are a writer and a general, please go straight to it, let alone what to do.&quot;"
21,异曲同工,"&quot;Historical Records: Biography of Pingyuan Jun&quot;: &quot;As soon as Mr. Mao arrived in Chu, he made Zhao more important than Jiuding Dalu.&quot;"
