,Chengyu,Definitions
0,成群结队,"Ming Feng Menglong&#39;s &quot;Awakening the World Hengyan&quot; Volume 8: &quot;Today I heard a story about an unexpected marriage, called &quot;Qiao Taishou Chaotic Points&quot;.&quot;"
1,难舍难分,"&quot;Yi Miscellaneous Gua&quot;: &quot;Leather, to remove the old, Ding, to take the new.&quot;"
2,家喻户晓,"Yuan Wang Ziyi&#39;s &quot;Into Taoyuan by Mistake&quot; 3rd fold: &quot;Tight reasoning is not convincing, words are not familiar with classics, and words are not speculative.&quot;"
3,斗转星移,"&quot;Book of Songs, Taiga, Repression&quot;: &quot;The bandit faces it, and the words mention it.&quot;"
4,何去何从,"&quot;Zhu Ziquan Shu Xue III&quot;: &quot;Learning one and three inferences, hearing one and knowing ten, is a scholar who has worked hard and is well-versed in theory, and then he can integrate and understand it, and that&#39;s it.&quot;"
5,反复无常,Song Shi Daoyuan&#39;s &quot;Jingde Chuan Deng Lu&quot; Volume 25: &quot;The monk asked: &#39;How is the same thing?&#39; The teacher said: &#39;There are thousands of differences.&#39;&quot;
6,合而为一,"The fourth fold of Yuan Wuming&#39;s &quot;Lianhuan Ji&quot;: &quot;Today is an auspicious day for the imperial road. All the officials of the Manchu Dynasty are at Yintaimen, and they urge the Taishi to enter the court to teach Zen.&quot;"
7,一览无余,"Song Lu Zuqian&#39;s &quot;Zuo&#39;s Confidence: Wei Lizhi is the Inscription&quot;: &quot;The Wei Li was in danger, and by chance he took his country."
8,铸成大错,"Ming Wang Shizhen&#39;s &quot;Ming Feng Ji · Script&quot;: &quot;Xiang Gong insists on this, the couple will die without a burial place!&quot;"
9,不胜其烦,"Ye Shengtao&#39;s &quot;Profits and Losses&quot;: &quot;If the teaching is in vernacular, it seems that there are not many sentences that need to be explained; however, we have to find ways to perfunctory 50 minutes.&quot;"
10,崭露头角,"Song Yan Yu&#39;s &quot;Canglang Poems&quot;: &quot;It was my own house that cut through this field behind closed doors. That is, someone who is not close to the fence and picks up people&#39;s spit and spit.&quot;"
11,不容置疑,"In the Southern Song Dynasty, Liu Yiqing&#39;s &quot;Shishuo Xinyu · Speech&quot;: &quot;Songshuzi is very pitiful, but he will never be a pillar.&quot;"
12,同日而语,"Qing Zeng Pu&#39;s &quot;Nice Sea Flowers&quot; Chapter 35: &quot;To tell the truth from the two of you, the old man liked associate professor Jie most to help the poor, suppress the strong and help the weak to fight injustice.&quot;"
13,黯然失色,"&quot;Sun Tzu: False and Real&quot;: &quot;Everyone knows the shape of my victory, but no one knows the shape of my victory.&quot;"
14,以强凌弱,"Song Lu You&#39;s &quot;Xie Qi for Deleting Dingguan&#39;s Service&quot;: &quot;Pulling out the grass to conquer, risking the end of the clear stream; and going to melon rain, there has been no flooding for months."
15,急于求成,Tang Yuanjie&#39;s &quot;Exemption from the Department and the Report&quot;: &quot;It is the crime of the minister to deceive officials and deceive them.&quot;
16,言而有信,"The Eastern Han Dynasty Ban Gu&#39;s &quot;Han Book of Food and Goods&quot;: &quot;The rich are Tian Lianqian, and the poor are dead and standing on the ground.&quot;"
