,Chengyu,Definitions
0,草草了事,"&quot;Book of Jin, Emperor Wu Ji&quot;: &quot;Thinking and the world-style Ming Wangdu, the original Qingyuan.&quot;"
1,沙里淘金,"Tang Hanyu&#39;s &quot;Book of Things to Do with Chen&quot;: &quot;Now I am relieved and realized, and I regretted it and said: &#39;It is Miao, that is why it is angry that it will not continue; it is quiet, that is why it shows its meaning.&#39;&quot;"
2,除旧布新,"Song Su Shi&#39;s &quot;Wen Yu Ke Hua Yun Dang Gu Yan Bamboo Notes&quot;: &quot;Strong straight and straight, to follow what he sees, like a rabbit rising and a falcon falling, and it is fleeting.&quot;"
3,耀武扬威,"Qing Cao Xueqin&#39;s &quot;A Dream of Red Mansions&quot;: &quot;Miss Yun, now that you have grown up, you are getting more outspoken.&quot;"
4,事倍功半,"Ming Tang Xianzu&#39;s &quot;The Story of the Purple Hairpin&quot; came out thirty-eighth: &quot;The captain doesn&#39;t compare his heart to his heart, and the boy will make plans when he is ready.&quot;"
5,为所欲为,"&quot;Historical Records: Biography of Shang Jun&quot;: &quot;Shang Jun died to the gate and wanted to leave the guest house. The guest did not know that he was the Shang Jun, and said: &#39;The law of the Shang Jun, the people who have not been tested, sit down.&#39; He sighed and said: &#39;Oh! It&#39;s the end of the law!&#39;&quot;"
6,指手划脚,"&quot;Amitabha Sutra&quot;: &quot;From the West, over ten trillion Buddhalands, there is a world called Ultimate Bliss.&quot;"
7,文质彬彬,"&quot;Huainanzi: Human Teachings&quot;: &quot;The saints respect the small and be careful, and do not miss the time.&quot;"
8,狂风暴雨,"Tandoori Fu&#39;s &quot;Poor Traffic&quot;: &quot;Turn your hands into clouds and cover your hands with rain, and they are all light and thin.&quot;"
9,气贯长虹,"Tang Yu Xuanji&#39;s poem &quot;Giving a Neighbor Girl&quot;: &quot;It is easy to seek priceless treasures, only a man with a heart.&quot;"
10,承上启下,"Ming Feng Menglong&#39;s &quot;Records of the Kingdoms of the Eastern Zhou Dynasty&quot;, the fourth chapter: &quot;Sacrificing enough to be expected, it can be said to be like a god.&quot;"
11,深谋远虑,"&quot;Book of Changes&quot;: &quot;The &quot;Book of Changes&quot; is poor and changes, changes are common, and general is long.&quot;"
12,鉴往知来,"Song Huang Tingjian&#39;s &quot;Four Breaks Guide Poems Preface&quot;: &quot;Rough tea and light meals will take a break when you are full, and you will take a break when you are full to cover the cold and warmth. If you are not greedy or jealous, you will take a break when you are old.&quot;"
13,萧规曹随,"&quot;The History of Uncle Cao Shi&#39;s Wife in the Later Han Dynasty&quot;: &quot;There are good things that are inexplicable, and evil things that are indescribable. Tolerance and humiliation are full of filth. Often if you are afraid, you are called a weak and inferior person.&quot;"
14,如法炮制,"Song Fan Zhongyan&#39;s &quot;The Story of Yueyang Tower&quot;: &quot;If you go to the tower, you will feel relaxed and happy, forget all favors and insults, and you will be happy if you drink wine in the wind.&quot;"
15,健步如飞,"&quot;Zuo Zhuan·Zhaogong Twenty-Eight Years&quot;: &quot;Jingwei Tiandi is called Wen.&quot; &quot;Mandarin Zhou Yu&quot;: &quot;Heaven, six earths and five, the number is constant. The latitude is based on the sky, and the weft is based on the earth.&quot;"
