,Chengyu,Definitions
0,仰首伸眉,"Qing·Liu E&#39;s &quot;Old and Disabled Travel Notes&quot; Chapter 13: &quot;That&#39;s fine, but you just hurry up and talk about your bizarre case.&quot;"
1,大街小巷,"&quot;Book of Jin Weiheng Biography&quot;: &quot;The fiber wave is dense, and the period is scattered.&quot;"
2,长风破浪,Qing Zhao Yi&#39;s &quot;Oubei Poems&quot; Volume Four: &quot;The Song of Everlasting Sorrow is a powerful piece of music and a song.&quot;
3,兼而有之,"Yuan·Wuhan Chen&#39;s &quot;Laoshenger&quot; first fold: &quot;It is impossible to make people strong and horses strong, but ghosts and gods.&quot;"
4,冷暖自知,"Chapter 3 of Du Pengcheng&#39;s &quot;In Peaceful Days&quot;: &quot;He was thrown away by various unexpected situations in the office, and looked in a state of embarrassment.&quot;"
5,骨鲠在喉,"Ming Feng Menglong&#39;s &quot;Records of the Kingdoms of the Eastern Zhou Dynasty&quot;: &quot;The soldiers and guards are displayed, starting from the palace, until the gate of Guangjia, the streets are full, one after another.&quot;"
6,严刑峻法,Lao She&#39;s &quot;Lao Zhang&#39;s Philosophy&quot;: &quot;It&#39;s so hard to part with tears.&quot;
7,颠来倒去,"Song Lou Key&#39;s &quot;Paying Zheng Xi and Others Exemption&quot;: &quot;And there is a sudden purpose of exoneration, and it should not be told to households.&quot;"
8,青山绿水,&quot;Songs of the Chu&quot;: &quot;Which is good or bad? Where to go?&quot;
9,觥筹交错,"The Southern Song Dynasty, Liu Yiqing&#39;s &quot;Shishuo Xinyu · Speech&quot;: &quot;Jiangzuo is not as good as China. If you make the Qianmo Articles, you can see everything at a glance. Therefore, it is unpredictable.&quot;"
10,大兴土木,&quot;Zizhitongjian·Tangji·Zhaozong Tianyou Three Years&quot;: &quot;The iron in the forty-three counties of the six states can&#39;t be wrong.&quot;
11,病从口入,"Qing Ji Yun&#39;s &quot;Notes on Yuewei Caotang&quot;, Volume 15: &quot;If you ask a woman to bind her wounds, the cloud will be scratched, and her words will be flickering. If you doubt Yi&#39;s words, it may not be deceitful.&quot;"
12,见微知著,"&quot;The Biography of Tuyuhun in Wei Shu&quot;: &quot;Tuyuhun tasted the Persian grass horse and put it into the sea. Because he gave birth to a foal, it can travel thousands of miles a day. It is also known as the Qinghai Cong.&quot;"
13,废寝忘食,"Liang Jiangyan&#39;s &quot;Bie Fu&quot; of the Southern Dynasties: &quot;Those who are ecstatic, just say goodbye.&quot; Li Shan noted: &quot;Depressed, loses appearance&quot;"
