,Chengyu,Definitions
0,是非分明,"Song Shi Daoyuan&#39;s &quot;Jingde Chuan Deng Lu: Zen Master Yirou&quot;: &quot;When the Buddhas were born, they preached to save people, and they moved the heavens and the earth; when the monks were born, what are the details?&quot;"
1,安不忘危,"Qing Zheng Guanying&#39;s &quot;Dangerous Words in a Prosperous Age: Shang Warfare&quot;: &quot;Down to the ingenious and ingenious skills, it also leads the new standard and competes with awl knives.&quot;"
2,民生凋敝,"Western Han Dynasty Liu An&#39;s &quot;Huainanzi Benjing Xun&quot;: &quot;Five emperors and three kings refer to the same thing in different situations, and return to the same way through different paths.&quot;"
3,目光炯炯,"&quot;Selected Chinese Folk Tales: The Traitor Li Siyi&quot;: &quot;Being a man is to step on the high and step on the low, and float on the water.&quot;"
4,人心惶惶,"The eighth chapter of &quot;The Travels of the Old and Can&quot; by Liu E of Qing Dynasty: &quot;He asked for a car from the county, and set off to Pingyin lightly.&quot;"
5,忧心如焚,"Ming Zhu Zhiyu&#39;s &quot;Answering the Thirty-Four Questions about Keeping the Covenant&quot;: &quot;I can&#39;t write, although I am rich in five cars, I am as loyal as Bigan, as filial as Birch and Zeng Shen, and I am just gone!&quot;"
6,信誓旦旦,"&quot;Mencius Teng Wen Gong Shang&quot;: &quot;The way of man is also: to eat and warm clothes, to live in comfort without teaching, then he is close to a beast.&quot;"
7,心无旁骛,"&quot;Luo Shen Fu&quot; by Cao Zhi of the Wei Dynasty of the Three Kingdoms: &quot;The red lips are bright on the outside, the teeth are fresh on the inside, the eyes are good, and the power is supported.&quot;"
8,力所不及,"Song Su Shi&#39;s &quot;Zhonghe Shengxiangyuan Ji&quot;: &quot;Everywhere, it is hard and hard, and it is more than 100 billion births.&quot;"
9,心向往之,"Song Fan Zhongyan&#39;s &quot;The Story of Yueyang Tower&quot;: &quot;Mighty and mighty, it spans the horizon of husband and wife.&quot;"
10,风云际会,"Shen Hugen&#39;s &quot;Little Junior Brother&quot;: &quot;And he has become so dumb, even his mother will look cold when he comes to see him.&quot;"
11,壮志未酬,"&quot;Jingben Popular Novel: Feng Yumei&#39;s Reunion&quot;: &quot;Xu Xin heard the words and was very uneasy. He lost his wife in Yucheng, and went to Suiyang Village to meet this woman, and detailed the story.&quot;"
12,政出多门,"&quot;Zuo Zhuan: Xuangong Fifteen Years&quot;: &quot;The proverb says: &#39;The high and the low are in the heart, the rivers and the zealots tolerate the filth, the mountains hide the diseases, and the Jinyu hides the flaws.&#39;"
13,议论纷纷,Zhuang Zhou&#39;s &quot;Zhuangzi Zaiyou&quot;: &quot;The general of Hongmeng will swim with joy.&quot;
14,足不出户,"Han Liuxi&#39;s &quot;Release the Name, Release the Car&quot;: &quot;The travel ring is on the back of the service horse, and the bridle outside the horse is attached to it. Before moving, there is no fixed place.&quot;"
15,从恶如崩,"Han Bangu&#39;s &quot;Dubin Opera&quot;: &quot;Dividing the Xia, the dragon and the tiger fight.&quot;"
16,热情洋溢,"Song Jiang Kui&#39;s &quot;Saint Song Song and Songs: Shi Yu Pei&quot;: &quot;The king of five leaders, the blind wind and strange clouds, the poisonous snake Zhenzhen, are indifferent to each other.&quot;"
17,学海无涯,"&quot;The Analects of Confucius, Liren&quot;: &quot;Scholars who are in the Tao and are ashamed of bad clothes and bad food are not enough to discuss.&quot;"
18,蚍蜉撼树,"Wei Cao Pi&#39;s &quot;Dian Lun · Essays&quot;: &quot;Fuwen, the original is the same but the last is different.&quot;"
19,语言无味,"Tang·Shen Qiqi&#39;s &quot;Shangsi Rijiu and Weibin should be made&quot;: &quot;BMW incense car Qingweibin, red peaches, blue willows and Tangchun.&quot;"
20,愚公移山,&quot;Zuo Zhuan·Xi Gong Twenty-eight Years&quot;: &quot;The danger is difficult to prepare for.&quot;
21,霸王别姬,"Qing Li Ruzhen&#39;s &quot;The Mirror of Flowers&quot; Chapter 91: &quot;I can&#39;t tell jokes, so I have to make a small order.&quot;"
22,一叶障目,"Han Wang Chong&#39;s &quot;Lunheng·Feng Yu&quot;: &quot;In the summer, you enter the furnace, and in the winter, you play the fan, do things you don&#39;t want to get, and offer words you don&#39;t want to hear. It&#39;s fortunate that you don&#39;t encounter disasters.&quot;"
23,孟母三迁,"Yuan Guan Hanqing&#39;s &quot;Single Sword Club&quot; first fold: &quot;Although he has many brothers, he has few soldiers and few generals.&quot;"
24,水火无情,"Yuan Guan Hanqing&#39;s &quot;Wangjiang Pavilion&quot; the fourth fold: &quot;He only needs to forcibly take apart my long and mixed branches, and cut off my trembling parallel lotus. In fact, he will be wronged.&quot;"
25,游山玩水,"Yuan Yang Xianzhi&#39;s &quot;Xiaoxiang Rain&quot; 4th fold: &quot;I will tell you thousands of times, you are partial to the trombone and cry.&quot;"
