,Chengyu,Definitions
0,四分五裂,"&quot;Book of Shang Jun Hua Ce&quot;: &quot;To kill is to kill, although it is OK to kill.&quot;"
1,狐假虎威,"&quot;Lv&#39;s Spring and Autumn Period: Judgment&quot;: &quot;Although poor and humble, it is not for profit.&quot;"
2,花言巧语,"&quot;Mencius Wanzhang Xia&quot;: &quot;Yin received Xia, Zhou received Yin, and he did not hesitate. Today is fierce, how should he be received?&quot;"
3,脚踏实地,&quot;Zhuangzi: The World in the World&quot;: &quot;I am ordered to drink ice in the evening. Is my inner heat related?&quot;
4,胸有成竹,"&quot;The Biography of Cui Hao in Wei Shu&quot;: &quot;You Cao regards this person as slender and weak, unable to bend a bow and hold a spear in his hands, and his chest is more than a soldier&#39;s.&quot;"
5,明目张胆,"&quot;Zhuangzi: The Great Master&quot;: &quot;Zi Si, Ziyu, Zili, and Zilai said to each other: &#39;Who can take Wu as the head, life as the spine, death as the rib, and who knows that life and death are one body? I am friends with him.&#39; The four of them looked at each other and smiled."
6,口蜜腹剑,"&quot;Song History, Wenyuan Biography VII, Xiong Ke&quot;: &quot;Kid young and handsome, not only long, good at learning and good at writing, Dr. Hu Xianqizhi of the county, said: &#39;Zi Xue is old in years, and he should show his writing in the future.&#39; &quot;"
7,走马观花,"Jin Wang Jia&#39;s &quot;Supplementary Notes&quot; Volume 1: &quot;When it is not used, it is often like a dragon and tiger singing in the box.&quot;"
8,司空见惯,"&quot;Poetry, Zhaonan, Lamb&quot;: &quot;Retire food from the public, and accept the snake and the snake.&quot;"
9,双管齐下,&quot;The Biography of Liu Penzi&quot; in the Book of the Later Han Dynasty: &quot;The so-called &quot;Iron in the Iron&quot; is the best among the mediocre.&quot;
10,道听途说,"Qing·Zhang Yuangeng&#39;s &quot;Zhang Shi Yanyan·Chen Youshi&quot;: &quot;I am invited to the boat, and the tea is over and the game is played, and it is as happy as my life.&quot;"
11,乘风破浪,"&quot;Mencius: Li Lou Shang&quot;: &quot;There is a reputation for fear, and there is a destruction for seeking perfection.&quot;"
12,一筹莫展,"In the Southern Song Dynasty, Liu Yiqing&#39;s &quot;New Words of the World: Youmei&quot;: &quot;I sighed when I was sentenced: &#39;I want to hear the Huating Crane, can I hear it again?&#39;&quot;"
13,黑白分明,"Qing Li Lvyuan&#39;s &quot;Different Road Lamp&quot; Chapter 14: &quot;All the good things of the past are all there, and Tan Xiaoruo has become an ancient person. The feeling of the past and the past is sad and unforgettable.&quot;"
14,迫不得已,"&quot;Book of Jin: The Biography of Que Xu&quot;: &quot;The prefect of Yongzhou moved tiredly. Emperor Wu sent him off at the East Hall, and he asked him: &#39;Why do you think you are like this?&#39; He replied: &#39;The ministers should take virtuous and good strategies, and be the best in the world, just like Guilin. One of the branches is the piece of jade from Kunshan.&#39;&quot;"
15,沧海一粟,Ming Luo Guanzhong&#39;s &quot;Romance of the Three Kingdoms&quot; No. 57: &quot;Pang Shiyuan is not a talent of a hundred miles.&quot;
16,孤注一掷,"Western Han Dynasty Liu Xiang&#39;s &quot;Warring States Policy: Qi Ce Four&quot;: &quot;The daughter of the North Palace is safe and healthy? She is completely surrounded by her, she will not marry when she is old, and she will support her parents. They are all those who lead the people out of filial piety. Hu So far it has not been up to now.”"
17,出类拔萃,"Tang Liu Yuxi&#39;s poem &quot;Revisiting Xuanduguan&quot;: &quot;Where is the Taoist who planted peach now, the former Liu Lang is here again.&quot;"
18,得过且过,"Song Yuanyu&#39;s &quot;Maple Window Small Slip&quot; scrolls up: &quot;Bianzhong calls Yuhang, and there are many things in the world, and the heaven on earth.&quot;"
19,囫囵吞枣,Han Wang Yanshou &quot;Lu Lingguang Hall Fu&quot;
20,痴人说梦,&quot;Warring States Policy Yan Ce I&quot;
21,忍辱负重,"&quot;Book of Songs, Bei Feng, Baizhou&quot;: &quot;My heart is a bandit, and it cannot be turned.&quot;"
22,如鱼得水,&quot;Historical Records Zhao Shijia&quot;: &quot;I heard that the skin of a thousand sheep is not as good as the armpit of a fox.&quot;
23,死不瞑目,&quot;New Book of Tang: Yuan Xingchong Biography&quot;: &quot;The things in the medicine cage of Jun Zhengwu cannot be left alone in a day.&quot;
24,赤膊上阵,"&quot;New Book of Tang, Biography of Tian Youyan&quot;: &quot;The so-called spring gypsum, the haze cures the disease.&quot;"
25,不识时务,"&quot;The Spring and Autumn Period of Lv&#39;s Nature&quot;: &quot;Many man has white teeth, Zheng Wei&#39;s voice, he should be happy with himself, and he is called the axe of cutting nature.&quot;"
26,半途而废,"&quot;New Book of Tang Li Mi Biography&quot;: &quot;Ride the ox with Pu Fang, hang it on the corner of the &quot;Han Shu&quot;, walk and read.&quot;"
27,力不从心,"&quot;The Analects of Confucius, Zizhang&quot;: &quot;The master&#39;s wall is several thousand meters long, and you can&#39;t enter through the door. You can&#39;t see the beauty of the ancestral temple, and the wealth of hundreds of officials.&quot; Under the shade, you can actually get food in autumn; spring trees and tribulus terrestris cannot be harvested from their leaves in summer, and you can get their thorns in autumn.”"
28,望尘莫及,"&quot;Zuo Zhuan: Xianggong Fourteen Years&quot;: &quot;For example, catching deer, Jin people horns, Zhu Rong fights them, and Jin fights them.&quot;"
29,入木三分,"&quot;Zuo Zhuan: Dinggong Four Years&quot;: &quot;Shen Baoxu is like Qin Qi, ... standing against the courtyard wall and crying, day and night, the sound of the spoon does not enter the mouth, for seven days. Qin Aigong wrote &quot;No Clothes&quot; to it, Nine bowed their heads and sat down. Master Qin came out.&quot;"
30,嫁祸于人,"&quot;Three Kingdoms, Wu Shu, Zhou Yu Biography&quot;: &quot;Yu is less focused on music, although after the third jue, there are some mistakes, Yu will know about it, and he will pay attention to it, so there is a rumor at that time: &#39;There is a mistake in the song, Zhou Lang will take care of it. .&#39;&quot;"
31,刮目相看,"Western Han Dynasty Sima Qian&#39;s &quot;Historical Records: Funny Biography&quot;: &quot;When King Wei of Qi was happy, he wanted to drink for the long night of lust.&quot;"
32,视死如归,"Tang Li Zhao&#39;s &quot;National History Supplement Zhong&quot;: &quot;Changsha monk Huai Su is good at cursive writing, and he said that he has obtained the cursive samadhi.&quot;"
33,抱残守缺,"Ming Sun Renru&#39;s &quot;Dongguo Ji·Nanfulian&quot;: &quot;Why do friends of the Jun family need to talk, they are often covered by clouds and rains, how many white hairs they know each other, and they share the same robe by sword.&quot;"
34,义无反顾,"Liu Xiang of the Western Han Dynasty, &quot;Warring States Policy: Qi Policy One&quot;: &quot;Xu Gong in the north of the city is the most beautiful person in the state of Qi.&quot;"
35,背水一战,"Tang Hanyu&#39;s poem &quot;After Reading Huangfu&#39;s Public Security Garden Poetry and Books&quot;: &quot;&quot;Erya&quot; is annotated with insects and fish, and it is definitely not an upright person.&quot;"
36,势如破竹,"Tang Li He&#39;s poem &quot;Mengtian&quot;: &quot;Looking at Qizhou at nine o&#39;clock in the distance, a cup of sea water pours out.&quot;"
37,一败涂地,Tang Li Bai&#39;s &quot;Spring Night Banquet From My Brother&#39;s Peach Garden Preface&quot;: &quot;Those who are in heaven and earth are the inverse journey of all things; those who are bright are the passers-by of a hundred generations.&quot;
38,各得其所,"&quot;The Legend of Guliang: The Twenty-seven Years of Duke Zhuang&quot;: &quot;The meeting of military chariots is four, and there is no war.&quot;"
39,赴汤蹈火,&quot;Song History · Wang Anshi Biography&quot;: &quot;The most important drama is the broken newspaper.&quot;
40,一诺千金,"&quot;Nineteen Ancient Poems, Lines and Lines&quot;: &quot;Huma is based on the north wind, and the south branch of the bird&#39;s nest.&quot;"
41,口若悬河,"&quot;Book of the Later Han Dynasty Yimin Biography&quot; records: Xiang Ziping lived in seclusion and did not serve as an official. After his children were married, he did not ask about housework and traveled to the famous mountains of the Five Sacred Mountains."
42,信口雌黄,"The Southern Song Dynasty Liu Yiqing&#39;s &quot;Shishuo Xinyu Shujie&quot;: &quot;Heng Gong has a master book that is good at parting wine, and if there is wine, you should taste it first. The good ones are called &#39;Qingzhou Engagement&#39;, and the bad ones are called &#39;Pingyuan Duyou&#39;.&quot;"
43,杯弓蛇影,"The preface of &quot;Poetry Xiaoya Baihua&quot;: &quot;Baihua, the Zhou people stabbed you as the queen. The king of You took the daughter of Shen as the queen, so he went down to the country and transformed it into the country, taking his concubine as his wife, and using evil as his ancestor, and Wang Fun can rule. &quot;"
