,Chengyu,Definitions
0,白纸黑字,"Qing Gu Yanwu&#39;s &quot;Rizhilu&quot; Volume 7: &quot;In ancient times, there were people like Zhang Kongbi and Luo Queshu, but the people had no two aspirations. Is it because the trust of the superiors is necessary to tie their hearts? This is also a matter of priority. And as a last resort.”"
1,光怪陆离,"Jin Wang Xizhi&#39;s &quot;After Mrs. Wei&#39;s Pen Chen Tu&quot;: &quot;At the age of fifty or three, I may be afraid of the wind and candles, and I will talk about the legacy and teach it to my descendants.&quot;"
2,九霄云外,"Tang Du Xunhe&#39;s poem &quot;Giving the title Tushui Temple Xianrenyuan&quot;: &quot;Snow on the head for a hundred years, and there is no wind in the ears.&quot;"
3,不可胜数,"Yuan Xiao Dexiang&#39;s &quot;Killing a Dog to Persuade Your Husband&quot; 2 folds: &quot;I am sincere, except to tell the sky, Naitian is high, and I don&#39;t know, I just beat my chest and burst into tears.&quot;"
4,悲天悯人,&quot;Book of the Later Han Dynasty: The Biography of the Southern Xiongnu&quot;: &quot;There is an endless stream of people who fled into the fortress.&quot;
5,前仆后继,"Song Su Shi&#39;s &quot;Qian Chibi Fu&quot;: &quot;Its voice is humming, like resentment and admiration, like weeping and complaining.&quot;"
6,恣意妄为,"Tang Mourong&#39;s &quot;Hang for Sending Guests Off&quot;: &quot;The west wind blows cold through the mink fur, and it does not stay in a hurry.&quot;"
7,初露头角,"Qing Cao Xueqin&#39;s &quot;Dream of Red Mansions&quot; Chapter 69: &quot;As time goes by, how do you talk to these minions in front of them?&quot;"
8,春光明媚,"Song Zhoumi&#39;s &quot;Qing Ping Le Heng Yu Ting Autumn Recline&quot;: &quot;Poetic and picturesque, only outside the ridge, the rain and the open air are low and refreshing, a piece of Wushan is over the water.&quot;"
9,鸣锣开道,"Han Su Wu&#39;s &quot;Four Poems&quot;: &quot;The marriage is a husband and wife, and there is no doubt about love.&quot;"
10,安之若素,"&quot;Huainanzi: Military Training&quot;: &quot;What is the hidden sky? It is cold and hot, stormy, foggy and dark, so it is a changer.&quot;"
11,大相径庭,"Ming Zhou Ji&#39;s &quot;Second Episode of the West Lake: The Heroines Disperse Wealth and Die for the Festival&quot;: &quot;All the officials, you are strong in the way, and you are in the middle. Among the maids, there are still..."
12,呼之欲出,&quot;Chu Ci Buju&quot;: &quot;I am upset and I don&#39;t know what to do.&quot;
13,猝不及防,"The ninth volume of Song Shi Weibai&#39;s &quot;Continued Chuan Denglu&quot;: &quot;The capital city, likes and dislikes all kinds of noble people, and high officials are prosperous.&quot;"
14,洋洋大观,Yuan Guan Hanqing&#39;s &quot;Xie Tianxiang&quot; first fold: &quot;It must be E Guanbo who brought a famous scholar and doctor.&quot;
15,仰人鼻息,"&quot;Deng Xizi: Wuhou Chapter&quot;: &quot;A person who is a king hides his form and hides his shadow, is selfless under the group, hides his eyes and shuts his ears, and thousands of people are shocked.&quot;"
16,言近旨远,"Ming Xu Zhonglin&#39;s &quot;Fengshen Romance&quot; Chapter 34: &quot;The left side of the road is like a mess, just because the fainted master made a wave of investigation.&quot;"
17,粗心大意,"Ming Shi Nai&#39;an&#39;s &quot;Water Margin Complete Biography&quot; fifty-fifth chapter: &quot;General Su Zhi is righteous and benevolent, helping those in danger and helping the poor, but I don&#39;t want to be so loyal.&quot;"
18,杂乱无章,"Song Fan Chengda&#39;s poem &quot;Send Charcoal in Heavy Snow and Mustard Concealment&quot;: &quot;It&#39;s not that charcoal must be sent in the snow, but poetry is required to talk about the scenery.&quot;"
19,脱胎换骨,"Song Yu&#39;s &quot;Gao Tang Fu&quot; in the Warring States Period: &quot;I am moved by the heart, and the ileum is hurt.&quot; The Three Kingdoms Wei Cao Pi&#39;s &quot;Artemisia Xing on the Great Wall&quot;: &quot;The female e&#39;s long song, the voice of the palace merchants, is heart-warming, and irritable. &quot;"
20,冰清玉洁,"&quot;Records of the Grand Historian: Biography of Qu Yuan and Jia Sheng&quot;: &quot;Blood-wen and strong will, wise in dealing with chaos, and adept in rhetoric.&quot;"
21,筋疲力尽,"In the Southern Song Dynasty, Liu Yiqing&#39;s &quot;Shishuo Xinyu · Speech&quot;: &quot;Up from the mountain, the mountains and rivers spontaneously arise, making people overwhelmed.&quot;"
22,日理万机,"&quot;Book of Songs, Binfeng, Ophio&quot;: &quot;It is not rainy and rainy in the sky, and the soil is swept away, and the households are prepared.&quot;"
23,贪生怕死,"Liang Liu Xie of the Southern Dynasties, &quot;Wen Xin Diao Long Shen Si&quot;: &quot;If you learn shallow and empty, you will be sparse and fast, and you will make a tool with it, and you will never hear it before.&quot; If you study and think about being the champion, I&#39;m just afraid that you&#39;ll be sparse in learning and talent.&quot;"
24,孤立无援,"Song Ouyang Xiu&#39;s &quot;Takigang Qian Table&quot;: &quot;I am familiar with it, so I can detail it.&quot;"
25,路人皆知,&quot;Easy Ding&quot;: &quot;Clever ears and eyes.&quot;
26,相亲相爱,"&quot;Zizhi Tongjian·Later Tang Dynasty·Zhuangzong Tongguang Three Years&quot;: &quot;And the ministers may have been under His Majesty for a long time, and they have gone through hundreds of battles, but they can&#39;t get one state.&quot;"
27,愤愤不平,"&quot;The Chronicles of the Three Kingdoms, Wei Shu, Deng Ai&#39;s Biography&quot; &quot;Zizhong and Ai both died.&quot; Pei Songzhi&#39;s annotation quoted &quot;Shiyu&quot;: &quot;Shi Zuan also died with Ai...the day of death is not complete.&quot;"
28,井然有序,&quot;Confucius&#39;s Family Language: Viewing Zhou&quot;: &quot;I heard that Lao Dan has learned from the past and the present.&quot;
29,席不暇暖,"&quot;The Analects of Confucius: Shuer&quot;: &quot;I know it silently, I don&#39;t get tired of learning, and I don&#39;t get tired of teaching others, why is it for me?&quot;"
30,不可理喻,"Southern Song Dynasty, Liu Yiqing&#39;s &quot;New Words of the World: Rongzhi&quot;: &quot;The pearl and jade are on the side, and I feel that my shape is filthy.&quot;"
31,不可逾越,"Qing Liang Qichao&#39;s &quot;The Question of Tariff Rights&quot;: &quot;Today, those outsiders who use xenophobia to slander each other are plausible, but they are even more inconsiderate, and they are justified.&quot;"
32,儿女情长,"Tang Tianying&#39;s &quot;Lan Yuntai Ji&quot;: &quot;There are friends, but more than a dozen bosom friends, come here to talk to each other, lead the way of all sages, and dare not make any dissent.&quot;"
33,孤陋寡闻,"Tang Hanyu&#39;s &quot;Journey to Learning&quot;: &quot;Devotion is accomplished by diligence, and waste is by play; action is accomplished by thinking, but destroyed by following.&quot;"
34,变本加厉,"Ming Feng Menglong&#39;s &quot;Records of the Kingdoms of the Eastern Zhou Dynasty&quot; Chapter 17: &quot;Cai Aihou Shizhi was caught in the plan of Xihou, and he hated it to the bone.&quot;"
35,高高在上,"&quot;Mencius: Under the Heart&quot;, &quot;Si can be described as a hometown.&quot; Song Zhu Xi&#39;s commentary: &quot;If you don&#39;t go through the door, you don&#39;t hate it. If you don&#39;t see your relatives, it&#39;s a blessing, and you hate it deeply.&quot;"
36,刻骨铭心,"Qing · Kong Shangren&#39;s &quot;Peach Blossom Fan · Solitary Song&quot;: &quot;The skin of the chicken is thin and thin, after seeing the frost and snow, the silk temples are like silver.&quot;"
