Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2019-2020,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,811,Directly funded,Y,6,12,412,259,0.629,295,0.716,402,253,0.629,288,0.716,Y
2019-2020,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1284,Directly funded,Y,K,8,267,198,0.742,228,0.854,257,190,0.739,219,0.852,Y
2019-2020,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,487,69,0.142,77,0.158,487,69,0.142,77,0.158,Y
2019-2020,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,393,115,0.293,132,0.336,382,111,0.291,127,0.332,Y
2019-2020,1,10017,129403,Alameda,Alameda County Office of Education,Epic Charter,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1632,Directly funded,Y,6,8,246,189,0.768,199,0.809,246,189,0.768,199,0.809,Y
2019-2020,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,73,73,1,73,1,62,62,1,62,1,Y
2019-2020,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,141,119,0.844,123,0.872,117,95,0.812,99,0.846,Y
2019-2020,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,170,129,0.759,146,0.859,170,129,0.759,146,0.859,Y
2019-2020,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,1881,Directly funded,Y,K,12,416,92,0.221,105,0.252,408,89,0.218,102,0.25,Y
2019-2020,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Yes,1888,Locally funded,N,10,12,125,36,0.288,36,0.288,13,6,0.462,6,0.462,Y
2019-2020,1,10017,137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Yes,1908,Directly funded,Y,6,8,112,83,0.741,93,0.83,112,83,0.741,93,0.83,Y
2019-2020,1,10017,138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,2027,Directly funded,Y,K,6,89,39,0.438,63,0.708,84,38,0.452,59,0.702,Y
2019-2020,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,740,Directly funded,Y,P,5,587,461,0.785,482,0.821,570,450,0.789,467,0.819,Y
2019-2020,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1464,Directly funded,Y,K,8,484,313,0.647,381,0.787,469,304,0.648,370,0.789,Y
2019-2020,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,K,Adult,64,64,1,64,1,42,42,1,42,1,Y
2019-2020,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,P,12,350,349,0.997,349,0.997,285,285,1,285,1,Y
2019-2020,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,10,0.27,10,0.27,33,10,0.303,10,0.303,Y
2019-2020,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Not Participating,No ,N/A,N/A,N,9,12,185,52,0.281,59,0.319,184,52,0.283,59,0.321,Y
2019-2020,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,471,247,0.524,275,0.584,455,242,0.532,270,0.593,Y
2019-2020,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,610,211,0.346,238,0.39,603,207,0.343,234,0.388,Y
2019-2020,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Yes,1181,Directly funded,Y,6,8,476,186,0.391,246,0.517,476,186,0.391,246,0.517,Y
2019-2020,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,1777,322,0.181,355,0.2,1722,305,0.177,336,0.195,Y
2019-2020,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Yes,352,Directly funded,Y,6,12,358,106,0.296,111,0.31,352,102,0.29,107,0.304,Y
2019-2020,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,398,Directly funded,Y,9,12,171,144,0.842,160,0.936,149,125,0.839,139,0.933,Y
2019-2020,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,298,103,0.346,140,0.47,298,103,0.346,140,0.47,Y
2019-2020,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1225,418,0.341,472,0.385,1199,403,0.336,457,0.381,Y
2019-2020,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,84,43,0.512,45,0.536,54,24,0.444,26,0.481,Y
2019-2020,1,61119,139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,449,93,0.207,111,0.247,449,93,0.207,111,0.247,Y
2019-2020,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,467,51,0.109,54,0.116,467,51,0.109,54,0.116,Y
2019-2020,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,638,85,0.133,93,0.146,638,85,0.133,93,0.146,Y
2019-2020,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,320,46,0.144,48,0.15,320,46,0.144,48,0.15,Y
2019-2020,1,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,550,201,0.365,226,0.411,535,196,0.366,221,0.413,Y
2019-2020,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,881,115,0.131,128,0.145,881,115,0.131,128,0.145,Y
2019-2020,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,609,230,0.378,253,0.415,609,230,0.378,253,0.415,Y
2019-2020,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,421,155,0.368,172,0.409,408,152,0.373,169,0.414,Y
2019-2020,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,652,57,8.74E-02,62,9.51E-02,617,53,8.59E-02,58,9.40E-02,Y
2019-2020,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,8,606,46,7.59E-02,59,9.74E-02,606,46,7.59E-02,59,9.74E-02,Y
2019-2020,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1,9.09E-02,1,9.09E-02,9,1,0.111,1,0.111,Y
2019-2020,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,3,1,0.333,1,0.333,3,1,0.333,1,0.333,Y
2019-2020,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,1157,154,0.133,173,0.15,1136,151,0.133,170,0.15,Y
2019-2020,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,534,61,0.114,63,0.118,534,61,0.114,63,0.118,Y
2019-2020,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,849,139,0.164,150,0.177,849,139,0.164,150,0.177,Y
2019-2020,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,505,80,0.158,86,0.17,505,80,0.158,86,0.17,Y
2019-2020,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,527,150,0.285,161,0.306,504,149,0.296,159,0.315,Y
2019-2020,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,12,0.279,12,0.279,38,11,0.289,11,0.289,Y
2019-2020,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,3255,730,0.224,796,0.245,3152,697,0.221,762,0.242,Y
2019-2020,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,10,12,53,37,0.698,38,0.717,48,33,0.688,33,0.688,Y
2019-2020,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,983,195,0.198,229,0.233,983,195,0.198,229,0.233,Y
2019-2020,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,701,175,0.25,206,0.294,701,175,0.25,206,0.294,Y
2019-2020,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,451,73,0.162,84,0.186,442,73,0.165,82,0.186,Y
2019-2020,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,356,89,0.25,99,0.278,346,84,0.243,94,0.272,Y
2019-2020,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,317,85,0.268,89,0.281,317,85,0.268,89,0.281,Y
2019-2020,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,443,82,0.185,93,0.21,428,79,0.185,90,0.21,Y
2019-2020,1,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,385,94,0.244,109,0.283,367,92,0.251,107,0.292,Y
2019-2020,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,552,135,0.245,155,0.281,532,127,0.239,146,0.274,Y
2019-2020,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,503,232,0.461,270,0.537,503,232,0.461,270,0.537,Y
